timestamp,beats per minute
2025-05-04T02:30:40Z,98.0
2025-05-04T02:30:43Z,98.0
2025-05-04T02:30:44Z,99.0
2025-05-04T02:30:47Z,99.0
2025-05-04T02:30:48Z,102.0
2025-05-04T02:30:49Z,99.0
2025-05-04T02:30:51Z,95.0
2025-05-04T02:30:53Z,94.0
2025-05-04T02:30:55Z,92.0
2025-05-04T02:30:57Z,93.0
2025-05-04T02:30:59Z,95.0
2025-05-04T02:31:02Z,95.0
2025-05-04T02:31:03Z,97.0
2025-05-04T02:31:05Z,96.0
2025-05-04T02:31:08Z,96.0
2025-05-04T02:31:09Z,100.0
2025-05-04T02:31:11Z,102.0
2025-05-04T02:31:13Z,101.0
2025-05-04T02:31:14Z,96.0
2025-05-04T02:31:16Z,86.0
2025-05-04T02:31:18Z,81.0
2025-05-04T02:31:20Z,83.0
2025-05-04T02:31:22Z,81.0
2025-05-04T02:31:25Z,81.0
2025-05-04T02:31:26Z,79.0
2025-05-04T02:31:29Z,79.0
2025-05-04T02:31:30Z,80.0
2025-05-04T02:31:33Z,80.0
2025-05-04T02:31:34Z,79.0
2025-05-04T02:31:36Z,78.0
2025-05-04T02:31:37Z,78.0
2025-05-04T02:31:39Z,77.0
2025-05-04T02:31:41Z,75.0
2025-05-04T02:31:43Z,74.0
2025-05-04T02:31:45Z,73.0
2025-05-04T02:31:47Z,72.0
2025-05-04T02:31:50Z,72.0
2025-05-04T02:31:53Z,74.0
2025-05-04T02:31:55Z,76.0
2025-05-04T02:31:58Z,76.0
2025-05-04T02:31:59Z,77.0
2025-05-04T02:32:01Z,76.0
2025-05-04T02:32:02Z,75.0
2025-05-04T02:32:04Z,73.0
2025-05-04T02:32:06Z,72.0
2025-05-04T02:32:08Z,72.0
2025-05-04T02:32:10Z,71.0
2025-05-04T02:32:12Z,70.0
2025-05-04T02:32:15Z,70.0
2025-05-04T02:32:18Z,71.0
2025-05-04T02:32:21Z,71.0
2025-05-04T02:32:22Z,72.0
2025-05-04T02:32:25Z,72.0
2025-05-04T02:32:27Z,73.0
2025-05-04T02:32:29Z,75.0
2025-05-04T02:32:31Z,77.0
2025-05-04T02:32:33Z,80.0
2025-05-04T02:32:35Z,83.0
2025-05-04T02:32:37Z,84.0
2025-05-04T02:32:39Z,83.0
2025-05-04T02:32:41Z,82.0
2025-05-04T02:32:44Z,82.0
2025-05-04T02:32:45Z,80.0
2025-05-04T02:32:47Z,78.0
2025-05-04T02:32:50Z,77.0
2025-05-04T02:32:52Z,77.0
2025-05-04T02:32:54Z,76.0
2025-05-04T02:32:57Z,76.0
2025-05-04T02:32:58Z,76.0
2025-05-04T02:33:00Z,77.0
2025-05-04T02:33:02Z,79.0
2025-05-04T02:33:04Z,80.0
2025-05-04T02:33:07Z,80.0
2025-05-04T02:33:08Z,79.0
2025-05-04T02:33:10Z,78.0
2025-05-04T02:33:13Z,77.0
2025-05-04T02:33:15Z,79.0
2025-05-04T02:33:17Z,78.0
2025-05-04T02:33:20Z,78.0
2025-05-04T02:33:21Z,76.0
2025-05-04T02:33:23Z,76.0
2025-05-04T02:33:26Z,76.0
2025-05-04T02:33:27Z,74.0
2025-05-04T02:33:29Z,73.0
2025-05-04T02:33:32Z,73.0
2025-05-04T02:33:33Z,75.0
2025-05-04T02:33:35Z,73.0
2025-05-04T02:33:36Z,71.0
2025-05-04T02:33:39Z,71.0
2025-05-04T02:33:40Z,68.0
2025-05-04T02:33:42Z,68.0
2025-05-04T02:33:45Z,68.0
2025-05-04T02:33:46Z,69.0
2025-05-04T02:33:49Z,69.0
2025-05-04T02:33:52Z,69.0
2025-05-04T02:33:54Z,70.0
2025-05-04T02:33:56Z,71.0
2025-05-04T02:33:58Z,73.0
2025-05-04T02:34:00Z,76.0
2025-05-04T02:34:01Z,77.0
2025-05-04T02:34:03Z,79.0
2025-05-04T02:34:05Z,80.0
2025-05-04T02:34:07Z,79.0
2025-05-04T02:34:10Z,79.0
2025-05-04T02:34:11Z,78.0
2025-05-04T02:34:13Z,78.0
2025-05-04T02:34:16Z,78.0
2025-05-04T02:34:17Z,78.0
2025-05-04T02:34:20Z,78.0
2025-05-04T02:34:21Z,77.0
2025-05-04T02:34:23Z,76.0
2025-05-04T02:34:24Z,75.0
2025-05-04T02:34:26Z,74.0
2025-05-04T02:34:29Z,74.0
2025-05-04T02:34:30Z,73.0
2025-05-04T02:34:33Z,73.0
2025-05-04T02:34:36Z,73.0
2025-05-04T02:34:39Z,73.0
2025-05-04T02:34:40Z,74.0
2025-05-04T02:34:42Z,76.0
2025-05-04T02:34:44Z,77.0
2025-05-04T02:34:47Z,77.0
2025-05-04T02:34:48Z,76.0
2025-05-04T02:34:49Z,74.0
2025-05-04T02:34:52Z,74.0
2025-05-04T02:34:53Z,72.0
2025-05-04T02:34:56Z,72.0
2025-05-04T02:34:57Z,70.0
2025-05-04T02:34:59Z,70.0
2025-05-04T02:35:01Z,68.0
2025-05-04T02:35:04Z,68.0
2025-05-04T02:35:05Z,68.0
2025-05-04T02:35:08Z,68.0
2025-05-04T02:35:09Z,68.0
2025-05-04T02:35:11Z,67.0
2025-05-04T02:35:12Z,68.0
2025-05-04T02:35:14Z,69.0
2025-05-04T02:35:16Z,70.0
2025-05-04T02:35:18Z,68.0
2025-05-04T02:35:21Z,68.0
2025-05-04T02:35:22Z,69.0
2025-05-04T02:35:24Z,70.0
2025-05-04T02:35:26Z,69.0
2025-05-04T02:35:28Z,70.0
2025-05-04T02:35:30Z,73.0
2025-05-04T02:35:33Z,73.0
2025-05-04T02:35:36Z,73.0
2025-05-04T02:35:39Z,73.0
2025-05-04T02:35:42Z,74.0
2025-05-04T02:35:45Z,74.0
2025-05-04T02:35:46Z,75.0
2025-05-04T02:35:48Z,74.0
2025-05-04T02:35:51Z,74.0
2025-05-04T02:35:52Z,75.0
2025-05-04T02:35:53Z,74.0
2025-05-04T02:35:55Z,72.0
2025-05-04T02:35:57Z,70.0
2025-05-04T02:35:59Z,69.0
2025-05-04T02:36:02Z,69.0
2025-05-04T02:36:03Z,68.0
2025-05-04T02:36:06Z,68.0
2025-05-04T02:36:07Z,67.0
2025-05-04T02:36:09Z,68.0
2025-05-04T02:36:12Z,68.0
2025-05-04T02:36:15Z,68.0
2025-05-04T02:36:18Z,68.0
2025-05-04T02:36:21Z,68.0
2025-05-04T02:36:22Z,69.0
2025-05-04T02:36:24Z,70.0
2025-05-04T02:36:27Z,70.0
2025-05-04T02:36:28Z,71.0
2025-05-04T02:36:31Z,71.0
2025-05-04T02:36:34Z,70.0
2025-05-04T02:36:36Z,71.0
2025-05-04T02:36:38Z,73.0
2025-05-04T02:36:40Z,75.0
2025-05-04T02:36:41Z,74.0
