,date,avg_beats_per_minute
0,2025-01-04,97.42461197339246
1,2025-01-05,76.00806314717366
2,2025-01-06,74.7420994033515
3,2025-01-07,84.2196506093415
4,2025-01-08,80.42079400982763
5,2025-01-09,74.51758636042217
6,2025-01-10,78.8933686457021
7,2025-01-11,70.28376556427948
8,2025-01-12,75.35886624502226
9,2025-01-13,84.31896390748793
10,2025-01-14,79.92994683692417
11,2025-01-15,80.47370859393097
12,2025-01-16,78.90957570737011
13,2025-01-17,72.65076038628189
14,2025-01-18,85.21929598515693
15,2025-01-19,76.60196326789107
16,2025-01-20,80.11305881132662
17,2025-01-21,78.12413249612324
18,2025-01-22,83.03709289840994
19,2025-01-23,84.6229445894246
20,2025-01-24,81.76532640269072
21,2025-01-25,83.00610822455963
22,2025-01-26,81.44013848559302
23,2025-01-27,86.67430051287259
24,2025-01-28,87.82686421277361
25,2025-01-29,89.58645396444977
26,2025-01-30,84.58801554848806
27,2025-01-31,79.15154087564953
28,2025-02-01,75.54428111365053
29,2025-02-02,90.42833380249252
30,2025-02-03,83.22006157408626
31,2025-02-04,83.51419493167317
32,2025-02-05,78.35968782677446
33,2025-02-06,77.87779699073477
34,2025-02-07,88.3284405074924
35,2025-02-08,80.35250406378202
36,2025-02-09,82.20123171670515
37,2025-02-10,88.00970998815227
38,2025-02-11,81.71596136154554
39,2025-02-12,83.42709721242521
40,2025-02-13,75.61651001225991
41,2025-02-14,78.76469829476562
42,2025-02-15,81.79368355058645
43,2025-02-16,83.26485507246377
44,2025-02-17,79.4768499379909
45,2025-02-18,84.12933125654317
46,2025-02-19,78.8701519443729
47,2025-02-20,91.7800209965275
48,2025-02-21,84.75982754248035
49,2025-02-22,80.61571108881859
50,2025-02-23,80.44908276005837
51,2025-02-24,90.72755269468635
52,2025-02-25,83.13700611566473
53,2025-02-26,86.87641630351192
54,2025-02-27,92.27160493827161
55,2025-02-28,86.1706255759189
56,2025-03-01,79.54034077647242
57,2025-03-02,75.77232993241657
58,2025-03-03,90.15389088334935
59,2025-03-04,87.2394412782414
60,2025-03-05,89.50317582882906
61,2025-03-06,81.62124868044036
62,2025-03-07,82.19796513114167
63,2025-03-08,74.7590165835556
64,2025-03-09,78.95641409191727
65,2025-03-10,86.5563208458293
66,2025-03-11,89.08024356890368
67,2025-03-12,87.22858373884834
68,2025-03-13,82.12991548155271
69,2025-03-14,83.62745806451613
70,2025-03-15,75.27436203939504
71,2025-03-16,72.64224484328957
72,2025-03-17,84.3351448275862
73,2025-03-18,82.78917371570043
74,2025-03-19,87.29212001318827
75,2025-03-20,82.78106372636803
76,2025-03-21,86.02446546052632
77,2025-03-22,76.38325875919094
78,2025-03-23,76.55897199374792
79,2025-03-24,93.56325141566013
80,2025-03-25,87.78539569262138
81,2025-03-26,89.46152863312294
82,2025-03-27,87.86398354121127
83,2025-03-28,94.00081833060557
84,2025-03-29,85.44009169638309
85,2025-03-30,73.86422302529685
86,2025-03-31,91.25942696341775
87,2025-04-01,87.59542513863217
88,2025-04-02,93.0387004054817
89,2025-04-03,88.13591931730024
90,2025-04-04,84.79211972072794
91,2025-04-05,78.62404190086868
92,2025-04-06,72.523889942581
93,2025-04-07,90.48690614136733
94,2025-04-08,85.56026683024076
95,2025-04-09,79.53461902447758
96,2025-04-10,85.13066570412005
97,2025-04-11,79.4403736566834
98,2025-04-12,67.72693194925029
99,2025-04-13,76.10654138426781
100,2025-04-14,77.0085427530725
101,2025-04-15,81.60101218756455
102,2025-04-16,84.18227587978423
103,2025-04-17,74.631441617743
104,2025-04-18,81.39993786568633
105,2025-04-19,78.35237502269956
106,2025-04-20,81.23831371418085
107,2025-04-21,85.23611396303902
108,2025-04-22,84.44799937925148
109,2025-04-23,78.37956506017873
110,2025-04-24,82.23564496014748
111,2025-04-25,87.02736842105263
112,2025-04-26,70.43290373487638
113,2025-04-27,72.17035225558041
114,2025-04-28,85.36961445344024
115,2025-04-29,85.36064310663653
116,2025-04-30,83.69571787122881
117,2025-05-01,95.88594915897306
118,2025-05-02,82.18983250827199
119,2025-05-03,79.60823711539702
120,2025-05-04,74.44800917485149
121,2025-05-05,89.38740414256962
122,2025-05-06,81.75550700892045
123,2025-05-07,74.55247024882799
124,2025-05-08,83.29987911211708
125,2025-05-09,79.85166968677194
126,2025-05-10,79.05574876986887
127,2025-05-11,84.38276931025575
128,2025-05-12,86.25086792061765
129,2025-05-13,84.99037071458075
130,2025-05-14,84.9837504813246
131,2025-05-15,88.53493494519005
132,2025-05-16,88.25969232357647
133,2025-05-17,79.07266395821242
134,2025-05-18,80.01743852138046
135,2025-05-19,89.75118440933187
136,2025-05-20,88.163760267406
137,2025-05-21,86.73094054944772
138,2025-05-22,82.79749902305588
139,2025-05-23,83.72476230061828
140,2025-05-24,81.07932755450486
141,2025-05-25,74.77830127624324
142,2025-05-26,74.57317738791423
143,2025-05-27,88.53857027463651
144,2025-05-28,91.49123842265952
145,2025-05-29,83.22505961079916
146,2025-05-30,87.74109092777678
147,2025-05-31,78.51081195675218
148,2025-06-01,69.61441774491682
149,2025-06-02,80.8867904895687
150,2025-06-03,81.50878656724201
151,2025-06-04,80.76140536256769
152,2025-06-05,82.51948154173117
153,2025-06-06,82.18923678553855
154,2025-06-07,75.80229971320593
155,2025-06-08,91.33506755707408
156,2025-06-09,86.89438816281287
157,2025-06-10,86.4936288376197
158,2025-06-11,89.26154750645433
159,2025-06-12,86.03845758618918
160,2025-06-13,90.62262017933763
161,2025-06-14,78.47056562187652
162,2025-06-15,71.7674506387921
163,2025-06-16,98.6982642136992
