date_time,heart_zone_id,total_minutes
2025-04-01T12:01,FAT_BURN,1
2025-04-01T12:11,FAT_BURN,1
2025-04-01T13:00,FAT_BURN,1
2025-04-01T15:27,FAT_BURN,1
2025-04-01T17:45,FAT_BURN,1
2025-04-01T18:18,FAT_BURN,1
2025-04-01T18:19,FAT_BURN,1
2025-04-01T18:23,FAT_BURN,1
2025-04-01T18:24,FAT_BURN,1
2025-04-01T18:27,FAT_BURN,1
2025-04-01T18:57,FAT_BURN,1
2025-04-02T07:25,FAT_BURN,1
2025-04-02T07:29,FAT_BURN,1
2025-04-02T07:30,FAT_BURN,1
2025-04-02T07:35,FAT_BURN,1
2025-04-02T10:42,FAT_BURN,1
2025-04-02T10:43,FAT_BURN,1
2025-04-02T10:45,FAT_BURN,1
2025-04-02T10:47,FAT_BURN,1
2025-04-02T10:49,FAT_BURN,1
2025-04-02T10:50,FAT_BURN,1
2025-04-02T10:57,FAT_BURN,1
2025-04-02T10:58,FAT_BURN,1
2025-04-02T11:06,FAT_BURN,1
2025-04-02T11:07,FAT_BURN,1
2025-04-02T11:08,FAT_BURN,1
2025-04-02T11:09,FAT_BURN,1
2025-04-02T11:10,FAT_BURN,1
2025-04-02T11:11,FAT_BURN,1
2025-04-02T11:17,FAT_BURN,1
2025-04-02T11:18,FAT_BURN,1
2025-04-02T11:19,FAT_BURN,1
2025-04-02T11:20,FAT_BURN,1
2025-04-02T11:21,FAT_BURN,1
2025-04-02T11:22,FAT_BURN,1
2025-04-02T11:23,CARDIO,2
2025-04-02T11:24,CARDIO,2
2025-04-02T11:25,FAT_BURN,1
2025-04-02T11:26,FAT_BURN,1
2025-04-02T11:28,FAT_BURN,1
2025-04-02T11:29,FAT_BURN,1
2025-04-02T11:30,FAT_BURN,1
2025-04-02T11:31,FAT_BURN,1
2025-04-02T11:32,CARDIO,2
2025-04-02T11:33,FAT_BURN,1
2025-04-02T11:34,FAT_BURN,1
2025-04-02T11:35,FAT_BURN,1
2025-04-02T11:36,FAT_BURN,1
2025-04-02T11:37,FAT_BURN,1
2025-04-02T11:38,FAT_BURN,1
2025-04-02T11:39,FAT_BURN,1
2025-04-02T11:40,FAT_BURN,1
2025-04-02T11:41,FAT_BURN,1
2025-04-02T11:42,FAT_BURN,1
2025-04-02T11:43,FAT_BURN,1
